name_code	kingdom	phylum	class	order	family	genus	specificEpithet	scientificName	infraspecies	scientificNameAuthorship	rank	iucn_code
201182	Plantae	Magnoliophyta	Liliopsida	Arecales	Arecaceae	Pinanga	tashiroi	Pinanga tashiroi		Hayata, 1913	species	CR
201934	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	rubrolabellum	Bulbophyllum rubrolabellum		T. P. Lin, 1975	species	EN
203328	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	taiwanensis	Alyxia taiwanensis		S. Y. Lu & Yuen P. Yang, 1978	species	EN
201998	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Cypripedium	formosanum	Cypripedium formosanum		Hayata, 1916	species	EN
202099	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Holcoglossum	quasipinifolium	Holcoglossum quasipinifolium		(Hayata) Schltr., 1919	species	EN
204153	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Malus	hupehensis	Malus hupehensis		(Pamp.) Rehd., 1933	species	DD
201937	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	tokioi	Bulbophyllum tokioi		Fukuy., 1935	species	EN
202059	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Gastrodia	elata	Gastrodia elata		Bl., 1856	species	VU
204174	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	grisea	Prunus grisea		(C. Muell.) Kalkm., 1965	species	LRlc
204388	Plantae	Magnoliophyta	Magnoliopsida	Salicales	Salicaceae	Salix	kusanoi	Salix kusanoi		(Hayata) Schneider, 1916	species	EN
202297	Plantae	Magnoliophyta	Magnoliopsida	Apiales	Araliaceae	Pentapanax	castanopsisicola	Pentapanax castanopsisicola		Hayata, 1915	species	VU
202775	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	cochinchinensis	Euonymus cochinchinensis		Pierre, 1894	species	LRlc
202294	Plantae	Magnoliophyta	Magnoliopsida	Apiales	Araliaceae	Fatsia	polycarpa	Fatsia polycarpa		Hayata, 1908	species	LRnt
204183	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	transarisanensis	Prunus transarisanensis		Hayata, 1915	species	LRnt
203317	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	dentata	Quercus dentata		Thunb. ex Murray, 1784	species	LRlc
203179	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Maackia	taiwanensis	Maackia taiwanensis		Hoshi & Ohashi, 1987	species	EN
204185	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Pyracantha	koidzumii	Pyracantha koidzumii		(Hayata) Rehder, 1920	species	EN
203143	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Gleditsia	rolfei	Gleditsia rolfei		Vidal, 1886	species	EN
202746	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Aquifoliaceae	Ilex	arisanensis	Ilex arisanensis		Yamamoto, 1925	species	EN
204181	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	taiwaniana	Prunus taiwaniana		Hayata, 1911	species	VU
202301	Plantae	Magnoliophyta	Magnoliopsida	Apiales	Araliaceae	Schefflera	taiwaniana	Schefflera taiwaniana		(Nakai) Kanehira, 1936	species	LRlc
203597	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	macrostemon	Cinnamomum macrostemon		Hayata, 1913	species	VU
203648	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Neolitsea	daibuensis	Neolitsea daibuensis		Kamikoti, 1932	species	EN
202763	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Aquifoliaceae	Ilex	rarasanensis	Ilex rarasanensis		Sasaki, 1931	species	EN
203293	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	hayatae	Fagus hayatae		Palib. ex Hayata, 1911	species	VU
203657	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Sassafras	randaiense	Sassafras randaiense		(Hayata) Rehder, 1920	species	VU
202340	Plantae	Magnoliophyta	Magnoliopsida	Aristolochiales	Aristolochiaceae	Aristolochia	cucurbitifolia	Aristolochia cucurbitifolia		Hayata, 1915	species	VU
203971	Plantae	Magnoliophyta	Magnoliopsida	Rhamnales	Elaeagnaceae	Elaeagnus	tarokoensis	Elaeagnus tarokoensis		Lu & Yang, 1993	species	VU
204440	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Meliaceae	Aphanamixis	polystachya	Aphanamixis polystachya		(Wall.) R. N. Parker, 1931	species	LRlc
204574	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Oleaceae	Ligustrum	pricei	Ligustrum pricei		Hayata, 1915	species	DD
203606	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cryptocarya	elliptifolia	Cryptocarya elliptifolia		Merr., 1919	species	CR
202767	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Aquifoliaceae	Ilex	tugitakayamensis	Ilex tugitakayamensis		Sasaki, 1931	species	EN
