name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
380230	Animalia	Chordata	Aves	Ciconiiformes	Scolopacidae	Limnodromus	semipalmatus		(Blyth, 1848)	Limnodromus semipalmatus  (Blyth, 1848)	species
380235	Animalia	Chordata	Aves	Ciconiiformes	Scolopacidae	Numenius	arquata	orientalis	(Linnaeus, 1758)	Numenius arquata orientalis (Linnaeus, 1758)	subspecies
380248	Animalia	Chordata	Aves	Ciconiiformes	Scolopacidae	Tringa	guttifer		(Nordmann, 1835)	Tringa guttifer  (Nordmann, 1835)	species
380257	Animalia	Chordata	Aves	Ciconiiformes	Threskiornithidae	Nipponia	nippon		(Temminck, 1835)	Nipponia nippon  (Temminck, 1835)	species
380258	Animalia	Chordata	Aves	Ciconiiformes	Threskiornithidae	Platalea	leucorodia	leucorodia	Linnaeus, 1758	Platalea leucorodia leucorodia Linnaeus, 1758	subspecies
380259	Animalia	Chordata	Aves	Ciconiiformes	Threskiornithidae	Platalea	minor		Temminck & Schlegel, 1849	Platalea minor  Temminck & Schlegel, 1849	species
380260	Animalia	Chordata	Aves	Ciconiiformes	Threskiornithidae	Threskiornis	melanocephalus		(Latham, 1790)	Threskiornis melanocephalus  (Latham, 1790)	species
380270	Animalia	Chordata	Aves	Columbiformes	Columbidae	Treron	formosae	formosae	Swinhoe, 1863	Treron formosae formosae Swinhoe, 1863	subspecies
380285	Animalia	Chordata	Aves	Galliformes	Phasianidae	Arborophila	crudigularis		(Swinhoe, 1864)	Arborophila crudigularis  (Swinhoe, 1864)	species
380287	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	chinensis		(Linnaeus, 1766)	Coturnix chinensis  (Linnaeus, 1766)	species
380289	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lophura	swinhoii		(Gould, 1863)	Lophura swinhoii  (Gould, 1863)	species
380290	Animalia	Chordata	Aves	Galliformes	Phasianidae	Phasianus	colchicus	formosanus	Linnaeus, 1758	Phasianus colchicus formosanus Linnaeus, 1758	subspecies
380291	Animalia	Chordata	Aves	Galliformes	Phasianidae	Syrmaticus	mikado		(Ogilvie-Grant, 1906)	Syrmaticus mikado  (Ogilvie-Grant, 1906)	species
380292	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	grus	lilfordi	(Linnaeus, 1758)	Grus grus lilfordi (Linnaeus, 1758)	subspecies
380293	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	japonensis		(Statius Müller, 1776)	Grus japonensis  (Statius Müller, 1776)	species
380294	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	monacha		Temminck, 1835	Grus monacha  Temminck, 1835	species
380295	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	vipio		Pallas, 1811	Grus vipio  Pallas, 1811	species
380317	Animalia	Chordata	Aves	Passeriformes	Campephagidae	Coracina	macei	rexpineti	(Lesson, 1830)	Coracina macei rexpineti (Lesson, 1830)	subspecies
380330	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	chinensis	diffusus	Linnaeus, 1766	Oriolus chinensis diffusus Linnaeus, 1766	subspecies
