name_code	common_name	type_id
203569	恆春臭黃荊	1
203589	小葉樟	1
203594	臺灣肉桂	1
203595	牛樟	1
203596	蘭嶼肉桂	1
203597	胡氏肉桂	1
203599	土肉桂	1
203600	土樟	1
203612	內苳子	1
203627	黃肉樹	1
203628	李氏木薑子	1
203629	李氏木薑子	1
203630	能漢木薑子	1
203631	玉山木薑子	1
203634	假長葉楠	1
203635	大葉楠	1
203636	小西氏楠	1
203637	恆春楨楠	1
203640	青葉楠	1
203641	香楠	1
203645	高山新木薑子	1
203646	武威新木薑子	1
203647	石厝新木薑子	1
203648	大武新木薑子	1
203649	南仁新木薑子	1
203651	小芽新木薑子	1
203657	臺灣檫樹	1
203674	球果杜英	1
203675	杜英	1
203676	蘭嶼杜英	1
203677	猴歡喜	1
203686	山芙蓉	1
203709	臺灣梭羅樹	1
203713	繩黃麻	1
203714	短莖繩黃麻	1
203719	菱葉捕魚木	1
203742	大野牡丹	1
203745	小金石榴	1
203746	圓葉布勒德藤	1
203747	布勒德藤	1
203748	金石榴	1
203750	臺灣野牡丹藤	1
203751	蘭嶼野牡丹藤	1
203758	糙葉耳藥花	1
203759	臺灣厚距花	1
203768	細脈赤楠	1
203769	臺灣赤楠	1
203770	高士佛赤楠	1
203781	合歡柳葉菜	1
203782	南湖柳葉菜	1
203783	彭氏柳葉菜	1
203785	臺灣柳葉菜	1
203798	臺灣瑞香	1
203800	白花瑞香	1
203801	玉山瑞香	1
203802	矮瑞香	1
203805	紅蕘花	1
203807	臺灣蕘花	1
203818	臺灣萍蓬草	1
203843	紅莖椒草	1
203848	恒春風藤	1
203849	綠島風藤	1
203851	薄葉風藤	1
203852	臺灣荖藤	1
203871	巨葉花遠志	1
203896	臺灣何首烏	1
203902	畢祿山蓼	1
203934	高士佛紫金牛	1
203940	裡菫紫金牛	1
203946	蘭嶼山桂花	1
203954	臺灣排香	1
203956	清水山過路黃	1
203962	黑點珍珠菜	1
203966	臺灣胡頹子	1
203968	慈恩胡頹子	1
203969	大橋胡頹子	1
203971	太魯閣胡頹子	1
203972	鄧氏胡頹子	1
203977	蓮花池山龍眼	1
203978	菱形奴草	1
203979	臺灣奴草	1
203980	長葉小檗	1
203981	高山小檗	1
203982	清水山小檗	1
203983	臺灣小蘗	1
203984	眠月小檗	1
203985	玉山小蘗	1
203986	太魯閣小檗	1
203988	阿里山十大功勞	1
203995	紫花野木瓜	1
203998	土防己	1
204000	臺灣土防己	1
204008	恆春青牛膽	1
204015	屏東鐵線蓮	1
204018	臺灣鐵線蓮	1
204019	梨山小蓑衣藤	1
204028	巴氏鐵線蓮	1
204029	臺灣草牡丹	1
204030	田村氏鐵線蓮	1
204032	鵝鑾鼻鐵線蓮	1
204033	高山鐵線蓮	1
204040	掌葉毛莨	1
204041	蓬萊毛莨	1
204043	高山毛莨	1
204044	森氏毛莨	1
204045	南湖毛莨	1
204048	鹿場毛莨	1
204051	密葉唐松草	1
204052	南湖唐松草	1
204053	玉山唐松草	1
204054	傅氏唐松草	1
204055	大花傅氏唐松草	1
204056	傅氏唐松草	1
204057	臺灣金蓮花	1
204058	紫珠葉泡花	1
204063	阿里山清風藤	1
204066	阿里山黃鱔藤	1
204067	奮起湖黃鱔藤	1
